loss,accuracy,val_loss,val_accuracy
2.766306768,0.155,2.888036066,0.19
2.379881482,0.216666667,2.221245033,0.26
2.394450543,0.233333333,2.356128945,0.15
2.113111987,0.266666667,2.116710481,0.27
1.986598633,0.338333333,2.624809501,0.15
2.828499491,0.111666667,2.974559519,0.08
3.029335728,0.116666667,2.720941063,0.08
2.565119172,0.171666667,2.867560948,0.06
2.483001899,0.186666667,2.322160741,0.22
2.205583149,0.233333333,2.136598631,0.25
2.03770813,0.286666667,1.930027888,0.31
1.880096349,0.393333333,1.89881343,0.34
1.692236254,0.528333333,1.762185757,0.4
1.652382268,0.52,1.951239209,0.37
1.691605085,0.49,1.738420781,0.43
1.524639027,0.565,1.659111819,0.45
1.446203047,0.621666667,1.695339533,0.47
1.422341918,0.605,1.655442672,0.47
1.431773453,0.593333333,1.532670803,0.47
1.373440969,0.63,1.611253358,0.47
1.355386612,0.643333333,1.573420504,0.5
1.323707538,0.656666667,1.575796402,0.55
1.272419457,0.66,1.477843858,0.48
1.258960003,0.68,1.528338615,0.51
1.246884279,0.663333333,1.516273043,0.51
1.251857268,0.661666667,1.614274818,0.44
1.237670628,0.67,1.4506416,0.58
1.152059701,0.708333333,1.423311267,0.56
1.154907867,0.686666667,1.459111474,0.55
1.112348022,0.706666667,1.406536564,0.59
1.102970381,0.723333333,1.669446533,0.35
1.13161417,0.698333333,1.401927779,0.58
1.087637635,0.723333333,1.434607539,0.56
1.038759361,0.753333333,1.376749174,0.59
1.054411953,0.731666667,1.444129287,0.55
1.058025868,0.743333333,1.649308842,0.46
1.051092684,0.733333333,1.35855656,0.59
0.991175411,0.781666667,1.384588745,0.56
0.971945567,0.786666667,1.4258963,0.57
0.964642653,0.8,1.384308819,0.6
0.96797949,0.78,1.471986911,0.55
0.922322614,0.798333333,1.386015354,0.59
0.910999579,0.825,1.472609487,0.63
0.983919024,0.78,1.34911862,0.6
0.953707857,0.776666667,1.331793398,0.63
0.903529244,0.813333333,1.469354364,0.53
0.883962395,0.84,1.343259105,0.62
0.931712054,0.801666667,1.605506036,0.56
0.935956385,0.815,1.464253934,0.55
0.859829523,0.841666667,1.314127014,0.6
0.934988218,0.795,1.347687083,0.56
0.851351312,0.841666667,1.463539179,0.61
0.864373905,0.83,1.331516133,0.6
0.823160988,0.85,1.364487304,0.59
0.856597353,0.835,1.402259761,0.61
0.893596934,0.828333333,1.395151591,0.59
0.820200887,0.866666667,1.333902999,0.58
0.785941842,0.873333333,1.350464569,0.59
0.775130318,0.901666667,1.44470901,0.6
0.781055212,0.88,1.498060333,0.61
0.775279127,0.883333333,1.35244859,0.64
0.772446822,0.88,1.338405138,0.59
0.765976704,0.886666667,1.366326274,0.61
0.844415885,0.836666667,1.380002508,0.62
0.755891846,0.881666667,1.481165696,0.58
0.7802357,0.878333333,1.496733851,0.56
0.735610504,0.9,1.38237194,0.59
0.732993712,0.893333333,1.4118922,0.62
0.722623325,0.903333333,1.381011415,0.61
0.723586834,0.893333333,1.360347692,0.63
0.753617909,0.865,1.345789631,0.66
0.790598667,0.846666667,1.361230758,0.59
0.700549713,0.888333333,1.421047654,0.61
0.684438503,0.905,1.364845847,0.64
0.693752365,0.89,1.382301755,0.63
0.701225799,0.901666667,1.403972134,0.62
0.661212378,0.908333333,1.289910573,0.63
0.670950884,0.905,1.471721868,0.56
0.797717941,0.84,1.39389795,0.63
0.673151043,0.91,1.364697503,0.62
0.672806364,0.898333333,1.250716052,0.69
0.664828845,0.91,1.377193095,0.64
0.652115242,0.911666667,1.33721049,0.57
0.650184131,0.903333333,1.404904394,0.56
0.835964527,0.826666667,1.438683909,0.6
0.839157264,0.82,1.35811895,0.55
0.697884927,0.878333333,1.357848966,0.63
0.661714453,0.898333333,1.303807638,0.64
0.657542054,0.896666667,1.309996696,0.64
0.627038432,0.908333333,1.306374908,0.61
0.628838733,0.893333333,1.356703173,0.57
0.64870838,0.901666667,1.307983404,0.63
0.606346209,0.908333333,1.551236272,0.52
0.784664586,0.838333333,1.30449064,0.66
0.59649966,0.901666667,1.244110598,0.64
0.633905973,0.893333333,1.263067372,0.64
0.667807262,0.89,1.386633657,0.62
0.629215719,0.9,1.29346387,0.67
0.577535123,0.911666667,1.426009446,0.6
0.584061293,0.913333333,1.17809375,0.61
0.697404008,0.865,1.231173251,0.65
0.589692321,0.911666667,1.188579559,0.68
1.02114685,0.728333333,1.150745857,0.7
0.717914622,0.87,1.089983708,0.69
0.584127584,0.908333333,1.169019648,0.7
0.560622375,0.925,1.103802642,0.67
0.555762157,0.928333333,1.096759227,0.66
0.549640953,0.933333333,1.140422102,0.67
0.534985444,0.943333333,1.130540905,0.72
0.523041053,0.941666667,1.09118767,0.69
0.696966441,0.863333333,1.106429183,0.69
0.546348113,0.93,1.793341797,0.43
1.043491772,0.698333333,1.711347459,0.46
0.750694544,0.858333333,1.110144215,0.68
0.590489242,0.913333333,1.160873673,0.69
0.628003198,0.895,1.063793238,0.66
0.564066384,0.915,1.239287221,0.66
0.587782923,0.916666667,1.087920183,0.68
0.498393133,0.941666667,1.105738284,0.67
0.488786598,0.956666667,1.05331084,0.72
0.470270362,0.953333333,1.064897805,0.71
0.468325817,0.951666667,1.16696269,0.67
0.502050039,0.935,1.078247518,0.69
0.469899728,0.958333333,1.095827149,0.65
0.463694404,0.958333333,1.053914563,0.69
0.483230215,0.946666667,1.080948987,0.68
0.566448072,0.91,1.094835979,0.68
0.436934375,0.968333333,1.097272529,0.67
0.440552869,0.966666667,1.088111157,0.68
0.427619358,0.97,1.059081628,0.68
0.425211433,0.966666667,1.147608086,0.7
0.531935221,0.938333333,1.187845629,0.68
0.457713865,0.96,1.083401637,0.66
0.445285966,0.966666667,1.110562445,0.68
0.462917043,0.955,1.093425388,0.67
0.416495951,0.963333333,1.086665328,0.68
0.458386448,0.951666667,1.148595353,0.65
0.393335332,0.97,1.107358602,0.73
0.393149322,0.971666667,1.051317142,0.7
